district_code,district_name,state_code,short_name
603,NICOBARS,35,NIC
632,NORTH AND MIDDLE ANDAMAN,35,NMA
602,SOUTH ANDAMANS,35,SAS
745,Alluri Sitharama Raju,28,
744,Anakapalli,28,
502,ANANTAPUR,28,ANT
753,Annamayya,28,
750,Bapatla,28,
503,CHITTOOR,28,CHI
505,EAST GODAVARI,28,EGI
748,Eluru,28,
506,GUNTUR,28,GNT
746,Kakinada,28,
747,Konaseema,28,
510,KRISHNA,28,KRS
511,KURNOOL,28,KUR
755,Nandyal,28,
749,NTR,28,
751,Palnadu,28,
743,Parvathipuram Manyam,28,
517,PRAKASAM,28,PRA
515,SPSR NELLORE,28,NEL
519,SRIKAKULAM,28,SRK
754,Sri Sathya Sai,28,
752,Tirupati,28,
520,VISAKHAPATANAM,28,VSK
521,VIZIANAGARAM,28,VNG
523,WEST GODAVARI,28,WGI
504,Y.S.R.,28,CUD
628,ANJAW,12,ANJ
229,CHANGLANG,12,CHG
230,DIBANG VALLEY,12,DBN
231,EAST KAMENG,12,EKG
232,EAST SIANG,12,ESG
718,KAMLE,12,KML
677,KRA DAADI,12,KRD
233,KURUNG KUMEY,12,KKY
724,LEPARADA,12,
234,LOHIT,12,LHT
666,LONGDING,12,LDG
235,LOWER DIBANG VALLEY,12,LDV
611,ARWAL,10,ARW
189,AURANGABAD,10,AGB
719,LOWER SIANG,12,LWR
236,LOWER SUBANSIRI,12,LSI
678,NAMSAI,12,NMS
723,PAKKE KESSANG,12,
237,PAPUM PARE,12,PPM
725,SHI YOMI,12,
679,SIANG,12,SAN
238,TAWANG,12,TWN
239,TIRAP,12,TRP
240,UPPER SIANG,12,USG
241,UPPER SUBANSIRI,12,USI
242,WEST KAMENG,12,WKG
243,WEST SIANG,12,WSG
739,BAJALI,18,
616,BAKSA,18,BAK
280,BARPETA,18,BAR
705,Biswanath,18,BSW
281,BONGAIGAON,18,BNG
282,CACHAR,18,CCH
708,CHARAIDEO,18,CID
612,CHIRANG,18,CRG
283,DARRANG,18,DRR
284,DHEMAJI,18,DHM
285,DHUBRI,18,DHB
286,DIBRUGARH,18,DBR
299,DIMA HASAO,18,DHO
287,GOALPARA,18,GLP
288,GOLAGHAT,18,GLG
289,HAILAKANDI,18,HLK
709,HOJAI,18,HJ
290,JORHAT,18,JRH
291,KAMRUP,18,KMP
618,KAMRUP METRO,18,KMT
292,KARBI ANGLONG,18,KAG
293,KARIMGANJ,18,KGJ
294,KOKRAJHAR,18,KKR
295,LAKHIMPUR,18,LKP
706,MAJULI,18,MJL
296,MARIGAON,18,MGN
297,NAGAON,18,NGN
298,NALBARI,18,NLB
300,SIVASAGAR,18,SVS
301,SONITPUR,18,SON
707,SOUTH SALMARA MANCACHAR,18,STH
302,TINSUKIA,18,TIN
617,UDALGURI,18,UDA
710,WEST KARBI ANGLONG,18,WST
188,ARARIA,10,ARA
190,BANKA,10,BNK
191,BEGUSARAI,10,BSR
192,BHAGALPUR,10,BGO
193,BHOJPUR,10,BJP
194,BUXAR,10,BUX
195,DARBHANGA,10,DBG
196,GAYA,10,GAY
197,GOPALGANJ,10,GPG
198,JAMUI,10,JAM
199,JEHANABAD,10,JHB
200,KAIMUR (BHABUA),10,KMR
201,KATIHAR,10,KTR
202,KHAGARIA,10,KGR
203,KISHANGANJ,10,KSG
204,LAKHISARAI,10,LSR
205,MADHEPURA,10,MDP
206,MADHUBANI,10,MDB
207,MUNGER,10,MNG
208,MUZAFFARPUR,10,MUZ
209,NALANDA,10,NLD
210,NAWADA,10,NAW
211,PASHCHIM CHAMPARAN,10,PSC
212,PATNA,10,PTN
213,PURBI CHAMPARAN,10,PRC
214,PURNIA,10,PRN
215,ROHTAS,10,RTS
216,SAHARSA,10,SHS
217,SAMASTIPUR,10,SMS
218,SARAN,10,SAR
219,SHEIKHPURA,10,SHK
220,SHEOHAR,10,SHH
221,SITAMARHI,10,STM
222,SIWAN,10,SWN
223,SUPAUL,10,SPL
224,VAISHALI,10,VSH
44,CHANDIGARH,4,CHD
646,BALOD,4,BLD
644,BALODA BAZAR,4,BLB
649,BALRAMPUR,4,BLM
374,BASTAR,4,BAS
650,BEMETARA,4,BEM
636,BIJAPUR,4,BIJ
375,BILASPUR,4,BLP
376,DANTEWADA,4,DNT
377,DHAMTARI,4,DMT
378,DURG,4,DRG
645,GARIYABAND,4,GRY
734,Gaurella Pendra Marwahi,4,
379,JANJGIR-CHAMPA,4,JCH
380,JASHPUR,4,JSH
382,KABIRDHAM,4,KDM
381,KANKER,4,KNK
643,KONDAGAON,4,KON
383,KORBA,4,KRB
384,KOREA,4,KOR
385,MAHASAMUND,4,MHS
647,MUNGELI,4,MUN
637,NARAYANPUR,4,NRY
386,RAIGARH,4,RGR
387,RAIPUR,4,RPR
388,RAJNANDGAON,4,RJN
642,SUKMA,4,SKM
648,SURAJPUR,4,SRJ
389,SURGUJA,4,SRG
77,CENTRAL,7,CNT
78,EAST,7,EST
79,NEW DELHI,7,NDL
80,NORTH,7,NRD
81,NORTH EAST,7,NED
82,NORTH WEST,7,NWD
671,SHAHDARA,7,HHD
83,SOUTH,7,SDL
75,SONIPAT,6,SNP
670,South East,7,STS
84,SOUTH WEST,7,SWD
85,WEST,7,WSD
551,NORTH GOA,30,NGO
552,SOUTH GOA,30,SGO
438,AHMADABAD,24,AHM
439,AMRELI,24,ARL
440,ANAND,24,ANA
672,ARVALLI,24,RVL
441,BANAS KANTHA,24,BKT
442,BHARUCH,24,BRC
443,BHAVNAGAR,24,BHV
676,BOTAD,24,BTD
668,CHHOTAUDEPUR,24,CUP
444,DANG,24,DAN
674,DEVBHUMI DWARKA,24,DVB
445,DOHAD,24,DHD
446,GANDHINAGAR,24,GNR
675,GIR SOMNATH,24,GRS
447,JAMNAGAR,24,JMN
448,JUNAGADH,24,JNG
449,KACHCHH,24,KCH
450,KHEDA,24,KHE
451,MAHESANA,24,MHN
669,Mahisagar,24,MSG
673,MORBI,24,MRI
452,NARMADA,24,NRM
453,NAVSARI,24,NVS
454,PANCH MAHALS,24,PMS
455,PATAN,24,PAT
456,PORBANDAR,24,PRB
457,RAJKOT,24,RJK
458,SABAR KANTHA,24,SKA
459,SURAT,24,SRT
460,SURENDRANAGAR,24,SUR
641,TAPI,24,TAP
461,VADODARA,24,VDR
462,VALSAD,24,VLS
58,AMBALA,6,AMB
59,BHIWANI,6,BHW
701,CHARKI DADRI,6,HRK
60,FARIDABAD,6,FRB
61,FATEHABAD,6,FTB
62,GURUGRAM,6,GRG
63,HISAR,6,HSR
64,JHAJJAR,6,JHJ
65,JIND,6,JND
66,KAITHAL,6,KTL
67,KARNAL,6,KRL
68,KURUKSHETRA,6,KRK
69,MAHENDRAGARH,6,MGH
604,NUH,6,MWT
619,PALWAL,6,PWL
70,PANCHKULA,6,PNK
71,PANIPAT,6,PNP
72,REWARI,6,RWR
73,ROHTAK,6,RHT
74,SIRSA,6,SRS
76,YAMUNANAGAR,6,YMN
15,BILASPUR,2,BLS
16,CHAMBA,2,CHM
17,HAMIRPUR,2,HMP
18,KANGRA,2,KNG
19,KINNAUR,2,KIN
20,KULLU,2,KUL
21,LAHUL AND SPITI,2,LAS
22,MANDI,2,MND
23,SHIMLA,2,SHM
24,SIRMAUR,2,SRM
25,SOLAN,2,SLN
26,UNA,2,UNA
1,ANANTNAG,1,ATG
623,BANDIPORA,1,BDP
3,BARAMULLA,1,BRM
2,Budgam,1,BDG
4,DODA,1,DOD
626,GANDERBAL,1,GDR
5,JAMMU,1,JMU
7,KATHUA,1,KTH
620,KISHTWAR,1,KHT
622,KULGAM,1,KLG
8,KUPWARA,1,KPW
10,POONCH,1,PNC
11,PULWAMA,1,PLW
12,RAJOURI,1,RJR
621,RAMBAN,1,RMB
627,REASI,1,REA
624,SAMBA,1,SAM
625,SHOPIAN,1,SPN
13,SRINAGAR,1,SRN
14,UDHAMPUR,1,UDM
322,BOKARO,20,BKR
323,CHATRA,20,CHT
324,DEOGHAR,20,DGH
325,DHANBAD,20,DHN
326,DUMKA,20,DMK
327,EAST SINGHBUM,20,ESM
328,GARHWA,20,GRH
329,GIRIDIH,20,GIR
330,GODDA,20,GDD
331,GUMLA,20,GML
332,HAZARIBAGH,20,HZR
333,JAMTARA,20,JMT
606,KHUNTI,20,KNT
334,KODERMA,20,KDR
335,LATEHAR,20,LTH
336,LOHARDAGA,20,LHR
337,PAKUR,20,PKR
